Time,url,Description,Validity,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/junior+tshirts,Junior T-Shirts,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/greeting+cards,Greeting Cards,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/greeting+cards,Greeting Cards,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/weekender+tote+bags,Tote Bags,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/weekender+tote+bags,Tote Bags,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/art,Wall Art,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/canvas+prints,Canvas Prints,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/framed+prints,Framed Prints,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/metal+prints,Metal Prints,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/acrylic+prints,Acrylic Prints,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/prints,Standard Prints,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/art,View All,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/iphone+cases,Phone Cases,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/iphone+cases,iPhone Cases,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/galaxy+cases,Galaxy Cases,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/throw+pillows,Home Decor,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/throw+pillows,Throw Pillows,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/duvet+covers,Duvet Covers,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/shower+curtains,Shower Curtains,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/bath+towels,Bath Towels,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/hand+towels,Hand Towels,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/coffee+mugs,Coffee Mugs,200,,,,
"Wednesday January 24, 2018 12:41 AM",https://condenaststore.com/shop/weekender+tote+bags,Fashion Accessories,200,,,,
